name,slug,country,city,founded,type,students,website
Afro-American University of Central Africa,afro-american-university-of-central-africa,Equatorial Guinea,,2015,,,
Afyon Kocatepe University,afyon-kocatepe-university,Turkey,Afyonkarahisar,1992,,30000,
Afyonkarahisar Health Sciences University,afyonkarahisar-health-sciences-university,Turkey,Afyonkarahisar,2018,,,
Aga Khan University,aga-khan-university,Pakistan,,1983,,,
Aga Khan University,aga-khan-university-q111083393,Uganda,Kampala,2001,,,
Agartala Government Dental College,agartala-government-dental-college,India,,2022,,,
Agdash music school named after Habil Aliyev,agdash-music-school-named-after-habil-aliyev,Azerbaijan,,,,,
Agder musikkonservatorium,agder-musikkonservatorium,Norway,,,,,
AGH University of Science and Technology,agh-university-of-science-and-technology,Poland,,1913,,19750,
Aghstafa city music school,aghstafa-city-music-school,Azerbaijan,Aghstafa,,,,
Agincourt Collegiate Institute,agincourt-collegiate-institute,,,,,,
Agnel Polytechnic,agnel-polytechnic,India,,1994,,,
Agni College of Technology,agni-college-of-technology,India,,2001,,,
Agora University,agora-university,Romania,Oradea,2000,,,
