University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
Universiti Teknologi Brunei,Brunei Darussalam,Asia,2026,578.0,2.0,29.0,20.2,13.1,86.5,22.7,100.0,7.7,20.7,16.6,34.7,Brunei Darussalam,Universiti Teknologi Brunei
University of Tabriz,Iran (Islamic Republic of),Asia,2026,578.0,6.0,29.0,9.7,11.2,2.9,91.7,1.7,25.4,76.9,5.1,29.6,Iran (Islamic Republic of),University of Tabriz
Universidad Pontificia Comillas,Spain,Europe,2026,581.0,17.0,28.9,12.3,76.7,48.4,4.1,25.4,11.2,10.4,87.1,49.2,Spain,Universidad Pontificia Comillas
Florida International University,United States,Americas,2026,582.0,82.0,28.8,22.7,38.3,18.3,17.5,27.7,22.6,84.7,28.0,79.0,United States,Florida International University
University of Iceland,Iceland,Europe,2026,582.0,1.0,28.8,9.6,2.0,99.6,18.0,32.4,18.1,75.5,89.3,49.4,Iceland,University of Iceland
Charles Darwin University,Australia,Oceania,2026,584.0,29.0,28.7,7.8,7.3,6.4,65.1,41.8,88.9,49.7,4.8,70.7,Australia,Charles Darwin University
Eotvos Lorand University,Hungary,Europe,2026,584.0,2.0,28.7,31.6,29.7,16.6,9.3,5.7,26.1,79.8,69.2,68.1,Hungary,Eotvos Lorand University
University of Dhaka,Bangladesh,Asia,2026,584.0,1.0,28.7,30.5,51.3,10.5,6.9,2.2,1.4,57.8,97.0,54.2,Bangladesh,University of Dhaka
American University,United States,Americas,2026,587.0,83.0,28.6,19.8,50.2,45.1,7.6,16.7,27.0,34.6,51.6,74.6,United States,American University
National Central University,Taiwan,Asia,2026,587.0,9.0,28.6,28.9,38.7,26.4,25.6,18.5,18.4,33.9,18.7,60.6,Taiwan,National Central University
Université Claude Bernard Lyon 1,France,Europe,2026,587.0,15.0,28.6,26.1,5.9,9.6,53.0,10.1,20.5,91.7,16.0,51.0,France,Université Claude Bernard Lyon 1
Université Paul Sabatier Toulouse III,France,Europe,2026,587.0,15.0,28.6,24.6,4.4,45.5,36.4,6.9,33.2,98.1,9.3,50.4,France,Université Paul Sabatier Toulouse III
American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Asia,2026,591.0,8.0,28.5,8.4,9.5,37.6,48.6,100.0,100.0,15.3,4.4,25.3,United Arab Emirates,American University of Ras Al Khaimah ( AURAK )
Bond University,Australia,Oceania,2026,591.0,30.0,28.5,5.9,8.3,52.1,53.8,63.5,90.4,24.6,11.6,23.5,Australia,Bond University
Illinois Institute of Technology,United States,Americas,2026,591.0,84.0,28.5,16.9,23.3,15.8,47.5,18.7,99.7,27.3,22.5,32.5,United States,Illinois Institute of Technology
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,Europe,2026,591.0,11.0,28.5,10.3,20.9,99.3,11.2,60.6,93.3,30.2,17.6,23.0,Russia,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)
Universidade Federal de Minas Gerais,Brazil,Americas,2026,595.0,6.0,28.4,45.4,16.9,21.1,11.8,9.0,2.5,67.6,50.9,48.2,Brazil,Universidade Federal de Minas Gerais
Zayed University,United Arab Emirates,Asia,2026,595.0,9.0,28.4,19.8,31.7,34.7,21.8,100.0,2.8,48.5,29.3,41.1,United Arab Emirates,Zayed University
Asia Pacific University of Technology and Innovation (APU) Malaysia,Malaysia,Asia,2026,597.0,14.0,28.3,17.3,23.7,74.2,2.9,95.6,100.0,14.1,5.3,39.0,Malaysia,Asia Pacific University of Technology and Innovation (APU) Malaysia
Hasselt University,Belgium,Europe,2026,597.0,8.0,28.3,8.8,5.2,85.7,22.8,78.5,41.1,69.8,6.6,62.7,Belgium,Hasselt University
Management and Science University - MSU Malaysia,Malaysia,Asia,2026,597.0,14.0,28.3,25.1,20.9,55.3,3.2,99.6,100.0,10.8,5.3,36.8,Malaysia,Management and Science University - MSU Malaysia
Taipei Medical University,Taiwan,Asia,2026,597.0,10.0,28.3,16.9,14.7,94.2,32.3,20.0,22.0,24.7,11.9,48.1,Taiwan,Taipei Medical University
Tulane University,United States,Americas,2026,597.0,85.0,28.3,14.5,13.8,87.2,17.5,20.3,18.5,79.2,46.2,51.8,United States,Tulane University
University of Szeged,Hungary,Europe,2026,597.0,3.0,28.3,26.2,22.7,41.9,8.9,15.4,56.4,75.3,29.0,69.4,Hungary,University of Szeged
University of Texas at Dallas,United States,Americas,2026,597.0,85.0,28.3,19.3,33.7,5.5,43.0,14.4,61.1,55.3,9.1,48.9,United States,University of Texas at Dallas
Canadian University of Dubai,United Arab Emirates,Asia,2026,604.0,10.0,28.2,22.7,29.7,40.3,7.0,100.0,100.0,18.8,18.1,17.6,United Arab Emirates,Canadian University of Dubai
National Chengchi University,Taiwan,Asia,2026,604.0,11.0,28.2,28.3,46.9,21.2,3.4,38.0,36.2,12.8,93.3,41.4,Taiwan,National Chengchi University
University of Eastern Finland,Finland,Europe,2026,604.0,8.0,28.2,18.9,10.3,45.0,35.3,39.2,12.0,84.0,5.6,71.2,Finland,University of Eastern Finland
University of Siena,Italy,Europe,2026,607.0,18.0,28.0,21.4,7.8,15.3,60.2,4.6,19.7,61.2,12.3,63.4,Italy,University of Siena
University of Tennessee,United States,Americas,2026,607.0,87.0,28.0,14.3,11.7,12.9,69.3,6.9,4.6,68.6,25.2,54.8,United States,University of Tennessee
Nottingham Trent University,United Kingdom,Europe,2026,609.0,55.0,27.9,16.4,22.9,15.5,10.7,67.1,90.4,84.8,20.4,77.5,United Kingdom,Nottingham Trent University
Peter the Great St.Petersburg Polytechnic University,Russia,Europe,2026,609.0,12.0,27.9,18.0,17.8,79.8,4.9,18.9,89.8,70.4,11.1,51.6,Russia,Peter the Great St.Petersburg Polytechnic University
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,Asia,2026,609.0,16.0,27.9,17.2,9.9,23.6,57.9,32.1,19.0,61.6,5.2,51.4,Malaysia,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA)
