country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
CYM,Cayman Islands,2024,104292.900672109,,,74457.0,,World Bank API,2026-07-13 06:56:42 UTC
CAF,Central African Republic,2020,462.879071294011,2.14468061163977,,5026628.0,,World Bank API,2026-07-13 06:56:42 UTC
CAF,Central African Republic,2021,492.263142830507,1.8725169173301,,5112100.0,,World Bank API,2026-07-13 06:56:42 UTC
CAF,Central African Republic,2022,467.359825026238,2.11509129476365,,5098039.0,,World Bank API,2026-07-13 06:56:42 UTC
CAF,Central African Republic,2023,495.978897288721,1.82995911310419,,5152421.0,,World Bank API,2026-07-13 06:56:42 UTC
CAF,Central African Republic,2024,516.160999996036,,,5330690.0,,World Bank API,2026-07-13 06:56:42 UTC
CEB,Central Europe and the Baltics,2020,16581.3833261524,4.62503004074097,65.5949325561523,101215763.0,99.4499969482422,World Bank API,2026-07-13 06:56:42 UTC
CEB,Central Europe and the Baltics,2021,19224.3287744219,4.65407991409302,67.2225112915039,100205732.0,99.4700012207031,World Bank API,2026-07-13 06:56:42 UTC
CEB,Central Europe and the Baltics,2022,19526.2463443821,4.31669998168945,69.6117095947266,100071871.0,99.4800033569336,World Bank API,2026-07-13 06:56:42 UTC
CEB,Central Europe and the Baltics,2023,22693.9504470566,,68.5388870239258,100183707.0,99.4899978637695,World Bank API,2026-07-13 06:56:42 UTC
CEB,Central Europe and the Baltics,2024,24616.0957872816,,68.5388870239258,100061963.0,99.5,World Bank API,2026-07-13 06:56:42 UTC
TCD,Chad,2020,866.947814890409,2.73960390423748,4.39665967267065,17224679.0,,World Bank API,2026-07-13 06:56:42 UTC
TCD,Chad,2021,946.358500208374,2.01648998260498,,17828273.0,,World Bank API,2026-07-13 06:56:42 UTC
