university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U002488,Universidade Católica Portuguesa - UCP,Portugal,Universidade Católica Portuguesa,94.11764705882352,https://openalex.org/I25169866,16091,600417,274,9875,2.9599315556823043
U002527,Universidade Federal do Estado do Rio de Janeiro - UNIRIO,Brazil,Universidade Federal do Estado do Rio de Janeiro,93.20388349514563,https://openalex.org/I83648350,38153,427829,182,9897,0.6437284471666066
U002529,Universidade Federal do Parà - UFPA,Brazil,Universidade Federal do Paraná,91.80327868852459,https://openalex.org/I52418104,107832,2555080,346,58794,1.1870377674785524
U002531,Universidade Federal do Paraná - UFPR,Brazil,Universidade Federal do Paraná,92.06349206349206,https://openalex.org/I52418104,107832,2555080,346,58794,1.1870377674785524
U002557,Universita IULM,Italy,IULM University,93.33333333333333,https://openalex.org/I200420086,2360,53209,107,829,1.2570579494799403
U002559,Università Vita-Salute San Raffaele,Italy,Vita-Salute San Raffaele University,98.55072463768117,https://openalex.org/I154387261,43631,4554310,596,62829,4.247578330542932
U002561,Universitas Airlangga,Indonesia,Airlangga University,92.6829268292683,https://openalex.org/I205133468,60532,662717,161,16195,1.0444036475145255
U002562,Universitas Andalas,Indonesia,Andalas University,91.89189189189189,https://openalex.org/I55892964,34058,248362,117,5322,0.5422442499806397
U002565,Universitas Hasanuddin,Indonesia,Hasanuddin University,93.02325581395348,https://openalex.org/I98301867,40727,383427,128,8518,0.7938157173468879
U002567,Universitas Islam Indonesia,Indonesia,Universitas Muslim Indonesia,90.9090909090909,https://openalex.org/I4210116576,14353,61617,64,1314,0.2799097065462754
U002568,Universitas Islam Sultan Agung,Indonesia,Sultan Agung Islamic University,91.80327868852459,https://openalex.org/I4210108557,10474,46221,62,1084,0.2383784974664023
U002570,Universitas Mercu Buana,Indonesia,Mercu Buana University,93.33333333333333,https://openalex.org/I177671886,17497,102594,78,2628,0.4073755201607117
U002571,Universitas Muhammadiyah Surakarta,Indonesia,Universitas Muhammadiyah Surabaya,92.53731343283582,https://openalex.org/I4210158925,4457,18602,37,371,0.3777386048854192
U002572,Universitas Muhammadiyah Yogyakarta,Indonesia,Muhammadiyah University of Yogyakarta,91.66666666666666,https://openalex.org/I226567900,18790,113652,80,2598,0.6242226120236007
U002574,Universitas Negeri Yogyakarta,Indonesia,Universitas PGRI Yogyakarta,92.85714285714286,https://openalex.org/I4210127278,4217,22352,46,426,0.3358024691358025
U002575,Universitas Padjadjaran,Indonesia,Padjadjaran University,93.33333333333333,https://openalex.org/I91819753,54309,667415,164,15641,1.2804317766180473
U002577,Universitas Sebelas Maret,Indonesia,Sebelas Maret University,93.87755102040816,https://openalex.org/I119896790,57468,460512,130,11094,0.6389780572534189
U002578,Universitas Sriwijaya,Indonesia,Sriwijaya University,92.6829268292683,https://openalex.org/I271888150,34073,245146,95,6067,0.4245252842478699
U002587,Universität Duisburg-Essen,Germany,University of Duisburg-Essen,92.5925925925926,https://openalex.org/I62318514,85230,5139231,586,82737,2.8651996188954114
U002589,Universität Heidelberg,Germany,Heidelberg University,93.02325581395348,https://openalex.org/I223822909,317450,42325242,1595,477315,4.038389664321144
U002593,Universität Konstanz,Germany,University of Konstanz,90.47619047619048,https://openalex.org/I189712700,49015,3289604,511,49311,2.6751204435960365
U002594,Universität  Leipzig,Germany,Leipzig University,91.89189189189189,https://openalex.org/I926574661,127805,6324858,688,95944,1.1630489106209394
