university_name,normalized_name,country,year,source
Illinois Institute of Technology,illinois institute of technology,United States,2017,QS
Johannes Gutenberg Universität Mainz,johannes gutenberg universitat mainz,Germany,2017,QS
Khalifa University of Science and Technology,khalifa university of science and technology,United Arab Emirates,2017,QS
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),national research nuclear university mephi,Russia,2017,QS
Taipei Medical University (TMU),taipei medical university,Taiwan,2017,QS
Universidad Externado de Colombia ,universidad externado de colombia,Colombia,2017,QS
Wake Forest University,wake forest university,United States,2017,QS
Aix-Marseille University,aix marseille university,France,2017,QS
Bilkent University,bilkent university,Turkey,2017,QS
Sogang University,sogang university,South Korea,2017,QS
Bangor University,bangor university,United Kingdom,2017,QS
Satbayev University,satbayev university,Kazakhstan,2017,QS
National Central University,national central university,Taiwan,2017,QS
HSE University,hse university,Russia,2017,QS
Peter the Great St. Petersburg Polytechnic University,peter the great st petersburg polytechnic university,Russia,2017,QS
United Arab Emirates University,united arab emirates university,United Arab Emirates,2017,QS
Universität Mannheim,universitat mannheim,Germany,2017,QS
University of Delaware,university of delaware,United States,2017,QS
University of Oulu,university of oulu,Finland,2017,QS
University of Utah,university of utah,United States,2017,QS
Renmin (People's) University of China,renmin university of china,China (Mainland),2017,QS
Julius-Maximilians-Universität Würzburg,julius maximilians universitat wurzburg,Germany,2017,QS
Iowa State University,iowa state university,United States,2017,QS
Christian-Albrechts-University zu Kiel,christian albrechts university zu kiel,Germany,2017,QS
"Goldsmiths, University of London",goldsmiths university of london,United Kingdom,2017,QS
Institut National des Sciences Appliquées de Lyon (INSA),institut national des sciences appliquees de lyon,France,2017,QS
University of Connecticut,university of connecticut,United States,2017,QS
University of Pisa,university of pisa,Italy,2017,QS
Pontificia Universidad Javeriana,pontificia universidad javeriana,Colombia,2017,QS
Jagiellonian University,jagiellonian university,Poland,2017,QS
Florida State University,florida state university,United States,2017,QS
Taras Shevchenko National University of Kyiv,taras shevchenko national university of kyiv,Ukraine,2017,QS
The University of Georgia,the university of georgia,United States,2017,QS
Beihang University (former BUAA),beihang university,China (Mainland),2017,QS
HUFS - Hankuk (Korea) University of Foreign Studies ,hufs hankuk university of foreign studies,South Korea,2017,QS
Sharif University of Technology,sharif university of technology,"Iran, Islamic Republic of",2017,QS
Singapore Management University,singapore management university,Singapore,2017,QS
Universitat Politècnica de València,universitat politecnica de valencia,Spain,2017,QS
Universität Bremen,universitat bremen,Germany,2017,QS
Huazhong University of Science and Technology,huazhong university of science and technology,China (Mainland),2017,QS
University of Trento,university of trento,Italy,2017,QS
American University of Sharjah,american university of sharjah,United Arab Emirates,2017,QS
Auckland University of Technology (AUT),auckland university of technology,New Zealand,2017,QS
Chang Gung University,chang gung university,Taiwan,2017,QS
Dongguk University ,dongguk university,South Korea,2017,QS
Sabanci University,sabanci university,Turkey,2017,QS
Swinburne University of Technology,swinburne university of technology,Australia,2017,QS
Universidad de Palermo (UP),universidad de palermo,Argentina,2017,QS
"University of Maryland, Baltimore County",university of maryland baltimore county,United States,2017,QS
University of Florence,university of florence,Italy,2017,QS
University of Coimbra,university of coimbra,Portugal,2017,QS
Shanghai University,shanghai university,China (Mainland),2017,QS
Pusan National University,pusan national university,South Korea,2017,QS
York University,york university,Canada,2017,QS
Ruhr-Universität Bochum,ruhr universitat bochum,Germany,2017,QS
Xiamen University,xiamen university,China (Mainland),2017,QS
Koç University,koc university,Turkey,2017,QS
Oregon State University,oregon state university,United States,2017,QS
Sultan Qaboos University,sultan qaboos university,Oman,2017,QS
Universidade Federal do Rio Grande Do Sul ,universidade federal do rio grande do sul,Brazil,2017,QS
Université Paul Sabatier Toulouse III,universite paul sabatier toulouse iii,France,2017,QS
Karl-Franzens-Universitaet Graz,karl franzens universitaet graz,Austria,2017,QS
Arabian Gulf University,arabian gulf university,Bahrain,2017,QS
Bond University,bond university,Australia,2017,QS
Concordia University,concordia university,Canada,2017,QS
University of New Mexico,university of new mexico,United States,2017,QS
University of Oklahoma,university of oklahoma,United States,2017,QS
"The University of Tennessee, Knoxville",the university of tennessee knoxville,United States,2017,QS
Wayne State University,wayne state university,United States,2017,QS
Universidad de Santiago de Chile (USACH),universidad de santiago de chile,Chile,2017,QS
