university_id,university_name,country,alias,normalized_alias
U000245,Beihang University (former BUAA),China (Mainland),Beihang University (former BUAA),beihang university former buaa
U000246,Beijing Foreign Studies University,China (Mainland),Beijing Foreign Studies University,beijing foreign studies university
U000247,Beijing Forestry University,China,Beijing Forestry University,beijing forestry university
U000248,Beijing Institute of Technology,China (Mainland),Beijing Institute of Technology,beijing institute of technology
U000249,Beijing Jiaotong University,China (Mainland),Beijing Jiaotong University,beijing jiaotong university
U000250,Beijing Normal University ,China (Mainland),Beijing Normal University,beijing normal university
U000251,Beijing University of Chemical Technology,China (Mainland),Beijing University of Chemical Technology,beijing university of chemical technology
U000252,Beijing University of Chinese Medicine,China (Mainland),Beijing University of Chinese Medicine,beijing university of chinese medicine
U000253,Beijing University of Posts and Telecommunications,China (Mainland),Beijing University of Posts and Telecommunications,beijing university of posts and telecommunications
U000254,Beijing University of Technology,China (Mainland),Beijing University of Technology,beijing university of technology
U000255,Beirut Arab University ,Lebanon,Beirut Arab University,beirut arab university
U000256,Belarusian National Technical University (BNTU),Belarus,Belarusian National Technical University,belarusian national technical university
U000256,Belarusian National Technical University (BNTU),Belarus,Belarusian National Technical University (BNTU),belarusian national technical university bntu
U000257,Belarusian State Medical University,Belarus,Belarusian State Medical University,belarusian state medical university
U000258,Belarusian State University,Belarus,Belarusian State University,belarusian state university
