university_id,university_name,country,source,year
U002234,Tokyo University of Foreign Studies,Japan,THE,2022
U002238,Tokyo University of Technology,Japan,THE,2022
U002247,Torcuato Di Tella University,Argentina,THE,2022
U002250,Toyama Prefectural University,Japan,THE,2022
U002259,Trinity Laban Conservatoire of Music and Dance,United Kingdom,THE,2022
U003328,University of Tripoli,Libya,THE,2022
U002262,Tsuru University,Japan,THE,2022
U002272,Turin Polytechnic University in Tashkent,Uzbekistan,THE,2022
U002276,Tver State University,Russian Federation,THE,2022
U002275,Tver State Technical University,Russian Federation,THE,2022
U002278,Ubon Ratchathani University,Thailand,THE,2022
U002283,"UEES, Espiritu Santo University",Ecuador,THE,2022
U002285,Ufa State Petroleum Technological University,Russian Federation,THE,2022
U002294,Ulyanovsk State University,Russian Federation,THE,2022
U002293,Ulyanovsk State Technical University,Russian Federation,THE,2022
U002300,Unichristus,Brazil,THE,2022
U002304,United International University,Bangladesh,THE,2022
U002409,Universidad del Pacífico Ecuador,Ecuador,THE,2022
U002512,Universidade Federal de Jataí (UFJ),Brazil,THE,2022
U002573,Universitas Negeri Surabaya,Indonesia,THE,2022
U003097,University of Mostar,Bosnia and Herzegovina,THE,2022
U003104,University of Namibia,Namibia,THE,2022
U003400,UNNOBA,Argentina,THE,2022
U003408,Urgench State University,Uzbekistan,THE,2022
U003412,Uruk University,Iraq,THE,2022
U003413,Uşak University,Turkey,THE,2022
U003416,Üsküdar University,Turkey,THE,2022
U002486,Universidad UTE,Ecuador,THE,2022
U001502,National University of Uzbekistan named after Mirzo Ulugbek,Uzbekistan,THE,2022
U003423,Uzhhorod National University,Ukraine,THE,2022
U003426,Valahia University of Targoviste,Romania,THE,2022
U003346,University of Vale do Itajaí,Brazil,THE,2022
U003431,Varna University of Management,Bulgaria,THE,2022
U003444,Vila Velha University,Brazil,THE,2022
U003456,Vitebsk State Medical University,Belarus,THE,2022
U003424,V.I. Vernadsky Crimean Federal University (Vernadsky CFU),Ukraine,THE,2022
U003459,Volgograd State University,Russian Federation,THE,2022
U003460,Voronezh State Technical University,Russian Federation,THE,2022
U003469,Walailak University,Thailand,THE,2022
U003360,University of Wales,United Kingdom,THE,2022
U003361,University of Wales Trinity Saint David,United Kingdom,THE,2022
U003486,Western Caspian University,Azerbaijan,THE,2022
U003370,University of West London,United Kingdom,THE,2022
U003482,West Ukrainian National University,Ukraine,THE,2022
U003493,WHU: Beisheim,Germany,THE,2022
U003373,University of Winchester,United Kingdom,THE,2022
U002209,The Women University Multan,Pakistan,THE,2022
U003380,University of Worcester,United Kingdom,THE,2022
U003498,World University of Bangladesh (WUB),Bangladesh,THE,2022
U003499,Wrexham Glyndwr University,United Kingdom,THE,2022
U003500,Writtle University College,United Kingdom,THE,2022
U003505,WSB Academy,Poland,THE,2022
U003519,Yamaguchi Prefectural University,Japan,THE,2022
U003521,Yamanashi Gakuin University,Japan,THE,2022
U003526,Yaşar University,Turkey,THE,2022
U003530,Yenepoya University,India,THE,2022
U003536,Yogyakarta State University,Indonesia,THE,2022
U003540,York St John University,United Kingdom,THE,2022
U003563,Ziauddin University,Pakistan,THE,2022
U003149,University of Oxford,United Kingdom,THE,2023
U000800,Harvard University,United States,THE,2023
U002819,University of Cambridge,United Kingdom,THE,2023
U002013,Stanford University,United States,THE,2023
U001311,Massachusetts Institute of Technology,United States,THE,2023
U000329,California Institute of Technology,United States,THE,2023
U001728,Princeton University,United States,THE,2023
U002809,"University of California, Berkeley",United States,THE,2023
U003517,Yale University,United States,THE,2023
U000879,Imperial College London,United Kingdom,THE,2023
U000451,Columbia University,United States,THE,2023
U000623,ETH Zurich,Switzerland,THE,2023
U002182,The University of Chicago,United States,THE,2023
U003161,University of Pennsylvania,United States,THE,2023
U001039,Johns Hopkins University,United States,THE,2023
U002261,Tsinghua University,China,THE,2023
U001656,Peking University,China,THE,2023
U003321,University of Toronto,Canada,THE,2023
U001500,National University of Singapore,Singapore,THE,2023
U000462,Cornell University,United States,THE,2023
U002812,"University of California, Los Angeles",United States,THE,2023
U002280,UCL,United Kingdom,THE,2023
U003072,University of Michigan-Ann Arbor,United States,THE,2023
U001519,New York University,United States,THE,2023
U000534,Duke University,United States,THE,2023
U001562,Northwestern University,United States,THE,2023
U003366,University of Washington,United States,THE,2023
U000346,Carnegie Mellon University,United States,THE,2023
