year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2019,Iran,Asia,909.43,23,374.0,22.48,21.71,22.53,1.26
2024,Ukraine,Europe,1326.78,20,685.5,28.02,12.56,8.36,12.15
2021,Uruguay,Latin America,688.75,4,462.0,32.9,27.66,32.29,2.44
2026,Poland,Europe,1260.32,53,271.0,34.35,23.47,21.97,11.88
2023,Iraq,Asia,1198.62,8,952.0,22.02,13.73,10.32,0.12
2017,Denmark,Europe,273.14,7,68.0,52.66,48.53,54.22,13.65
2025,Portugal,Europe,904.62,20,260.0,35.56,26.21,36.48,16.2
2020,Algeria,Other,1178.12,8,650.0,18.15,19.12,19.32,0.75
2020,Ecuador,Latin America,869.25,4,775.5,37.75,39.8,32.07,1.18
2023,Argentina,Latin America,968.59,27,67.0,37.43,14.32,3.06,20.84
2022,South Korea,Asia,642.42,45,36.0,35.67,35.98,37.22,6.2
2018,Peru,Latin America,751.12,4,435.5,21.55,21.51,22.17,8.63
2016,Uganda,Africa,408.0,1,408.0,34.7,40.45,36.84,9.0
2025,Norway,Europe,474.44,8,119.0,46.9,29.89,30.64,15.8
2026,Venezuela (Bolivarian Republic Of),Americas,1015.5,6,735.5,36.1,21.12,1.92,21.7
2017,Argentina,Latin America,560.59,17,85.0,36.22,38.08,38.08,84.8
2025,Cyprus,Asia,606.75,4,389.0,38.54,31.32,50.24,34.25
2026,Uruguay,Americas,875.38,4,650.0,49.15,24.08,1.65,26.49
2018,Belgium,Europe,245.62,12,71.0,50.0,51.66,53.32,19.33
2022,South Africa,Africa,668.54,14,226.0,36.43,37.65,36.85,120.62
